"Accession","4087_10_255_LT","4088_12_259","4089_24_270","4107_44_268_LT","4095_2_265","4096_15_260","4090_22_302","4091_23_282","4092_1_308","4093_3_316","4094_14_320","4108_42_297","4109_34_301","4110_18_311","4111_29_305","4112_35_321","4113_17_277","4114_21_267","4115_25_275","4116_20_286","4127_39_304_LT","4128_33_280","4129_31_314","4130_52_331","4131_47_251","4132_55_269","4133_51_258","4134_37_287","4135_45_303","4136_43_299","4147_64_330_LT","4148_62_324"
"A0A3Q1M2L8|A0A3Q1M2L8_BOVIN","708674.6528","651387.4922","640716.2575","605496.1142","462056.3996","596891.5803","273604.4556","394407.5622","372989.5719","330667.8943","337589.6705","632592.0981","604599.6254","481858.022","534242.1317","548742.2143","434293.6428","534974.2717","377543.0689","407411.9271","397311.2066","619823.4328","461125.5764","588833.1939","516580.9029","422994.9332","593874.6867","470973.15","603675.9473","597141.1017","659786.5514","812408.89"
"Q3ZC07|ACTC_BOVIN;A0A3Q1M558|A0A3Q1M558_BOVIN;G8JKX4|G8JKX4_BOVIN;P60712|ACTB_BOVIN;Q5E9B5|ACTH_BOVIN;A0A452DJE4|A0A452DJE4_BOVIN;A0A3Q1NKP5|A0A3Q1NKP5_BOVIN","43815348.12","77775446.18","29781602.01","51451617","38834227.62","45409152.51","85496006.12","54179612.23","76447864.74","54079415.27","48040680.67","37724931.3","55162289.42","32403737.56","60325364.79","54716847.94","37505828.96","63223584.14","43973070.74","31270801.73","30505421.75","52353566.44","35614246.75","43615578.37","30286412.44","55827616.33","39881507.98","52794107.8","47972250.28","19705375.75","19975536.42","9576857.97"
"A0A3Q1M9X9|A0A3Q1M9X9_BOVIN","677173.2346","533429.6226","859219.842","620459.4701","592163.7342","591271.2204","526244.6038","591654.074","449683.8002","513234.397","591128.6926","706116.5051","681938.2333","785997.207","558798.5953","612036.0154","715068.2378","703118.8327","506056.8283","685604.4932","678853.0189","657863.6466","630328.763","785187.1554","609751.3319","643984.4135","612109.9697","449193.5246","593904.8068","684276.9361","908777.8843","929041.9508"
"E1B9H3|E1B9H3_BOVIN","49039.30892","44377.63102","24369.59976","317906.3258","45175.10218","23027.27547","36526.07123","49045.67657","49133.02938","28748.89421","51801.8168","535410.3731","192892.8726","59454.74341","340744.1233","677197.1302","69407.47328","75861.21024","512131.5741","48563.65483","421365.7849","214301.6559","289363.6427","936547.8833","730380.797","539308.8958","548897.7902","590450.9511","48147.10302","469945.1545","67327.09855","479808.3693"
"A0A3Q1LYL7|A0A3Q1LYL7_BOVIN","347134.3154","351657.5499","357277.9232","2556628.161","477243.0675","5081915.481","394214.2718","382687.1234","370737.2595","1676402.765","394828.4023","2646738.914","2531847.69","428392.3598","1952849.661","3113245.486","364673.853","451737.8249","2616504.739","248018.425","2086452.581","2626541.674","2477596.026","3036953.566","4436895.533","3333801.859","3520600.288","3048658.445","2926071.117","2752396.09","3477269.291","3068808.167"
"A0A452DIB2|A0A452DIB2_BOVIN","175169.0846","32584.26987","20163.31949","723478.5636","62168.4703","3253.146671","55969.82832","24322.82237","107935.3663","64847.26442","60854.59501","1578220.838","339282.0067","91191.98018","778049.0879","1794993.938","39050.45337","36789.76994","858117.6046","125333.2359","350510.3687","604405.3967","97716.41565","1718408.001","1634445.274","634978.0423","977571.6104","1911674.413","627353.7177","1067298.27","556071.8387","734270.2143"
"E1BPM0|E1BPM0_BOVIN","2591200.385","2716987.228","3020541.185","3090999.719","2397320.589","3305150.804","2657290.305","2711652.778","2066380.892","2145813.576","2324889.396","3835969.324","3181011.919","2701164.915","3452131.446","4126008.985","2483228.259","3435421.644","2822372.071","3123964.4","3004210.882","3555405.623","3075095.114","3514221.267","2861230.042","2880578.566","2687949.707","3393123.546","2976032.24","3329797.721","3077565.744","3872096.488"
"A0A3Q1M861|A0A3Q1M861_BOVIN","121604.4887","194880.8925","189254.983","224132.3658","181687.816","175888.5599","135658.4119","149797.5087","179598.4431","98579.6984","110322.0016","110268.2363","213873.8179","121111.869","170369.0872","132244.5692","150147.4003","159509.0738","187278.585","145072.2871","217646.1358","216365.5635","232033.1921","195274.2601","191914.6793","219834.9667","211878.1748","135407.1093","232163.5218","160181.4421","168127.8862","202352.5137"
"F1MWF1|F1MWF1_BOVIN","44149.1436","66120.53419","297272.4589","175859.7936","15076.64997","28751.28132","26005.22954","52657.0228","34938.5978","146003.6074","2695.541973","276756.9111","109299.9947","34974.78287","253615.9213","387091.0528","38804.42872","61222.7379","369050.6909","51093.73621","154453.2247","90754.02549","415357","643030.6378","635469.8566","540567.424","444151.1377","456385.106","80871.81827","433418.0476","230154.6074","458775.2051"
"A0A3Q1MN27|A0A3Q1MN27_BOVIN","2540.237371","19617.81957","26439.49264","0","0","26795.96989","29100.88779","4239.095464","2833.633017","25051.84753","0","0","0","0","0","0","0","0","0","0","0","0","128282.5019","0","190959.2336","34790.27275","29048.66099","32925.8825","4813.976973","12111.31452","31833.45473","22665.13457"
